統合ID,文字,カード番号,字体数,用例数,部首,枚数,
03858,掌,0520,1,6,064,1,
03880,推,0521,1,2,064,1,
04008,摧,0522,1,2,064,1,
04009,摩,0523,1,32,064,1,
04192,攝,0524,1,6,064,1,
04233,放,0525,1,6,066,1,
04243,故,0526,1,16,066,1,
04261,教,0527,1,10,066,1,
04263,救,0528,1,4,066,1,
04280,散,0529,1,3,066,1,
04286,敬,0530,1,2,066,1,
04296,敷,0531,1,7,066,1,
04298,數,0532,1,13,066,1,
04319,變,0533,1,4,066,1,
04381,斷,0534,1,7,069,1,
04385,方,0535,1,38,070,1,
04389,於,0536,1,86,070,2,
04391,施,0538,1,9,070,1,
04406,旋,0539,1,2,070,1,
04446,日,0540,1,12,072,1,
04485,明,0541,1,30,072,1,
04499,星,0542,1,4,072,1,
04505,昧,0543,1,14,072,1,
04523,時,0544,1,36,072,1,
04554,晨,0545,1,2,072,1,
04557,普,0546,1,47,072,1,
04569,智,0547,1,58,072,2,
04591,暗,0549,1,8,072,1,
04636,曜,0550,1,5,072,1,
04640,曠,0551,1,2,072,1,
04650,曰,0552,1,9,073,1,
04667,會,0553,1,4,073,1,
04673,月,0554,1,4,074,1,
04674,有,0555,1,84,074,2,
04679,服,0557,1,4,074,1,
04711,未,0558,1,8,075,1,
04712,末,0559,1,2,075,1,
04765,東,0560,1,4,075,1,
04803,林,0561,1,9,075,1,
04806,果,0562,1,4,075,1,
04848,染,0563,1,7,075,1,
04849,柔,0564,1,2,075,1,
04918,栴,0565,1,4,075,1,1字体のまま
04922,根,0566,1,11,075,1,
05010,梵,0567,1,7,075,1,
05152,業,0568,1,8,075,1,
05279,樂,0569,1,29,075,1,
05293,樓,0570,1,12,075,1,
05323,樹,0571,1,26,075,1,
05391,檀,0572,1,5,075,1,
05558,次,0573,1,7,076,1,
05580,欲,0574,1,29,076,1,
05641,止,0575,1,6,077,1,
05644,此,0576,1,81,077,2,
05670,歴,0578,1,2,077,1,
05686,死,0579,1,10,078,1,
05717,殊,0580,1,2,078,1,
05809,殿,0581,1,2,079,1,
05841,比,0582,1,48,081,1,
05845,毘,0583,1,6,081,1,
05850,毛,0584,1,5,082,1,
05947,氣,0585,1,3,084,1,
05952,水,0586,1,8,085,1,
05957,永,0587,1,4,085,1,
05964,求,0588,1,11,085,1,
05983,汝,0589,1,14,085,1,
05986,池,0590,1,3,085,1,
06003,決,0591,1,4,085,1,
06015,沈,0592,1,2,085,1,
06023,沒,0593,1,3,085,1,
06031,沙,0594,1,2,085,1,
06055,治,0595,1,2,085,1,
06063,泉,0596,1,2,085,1,
06074,法,0597,1,123,085,3,
06086,波,0600,1,24,085,1,
06138,洲,0601,1,5,085,1,
06151,流,0602,1,3,085,1,
06175,浮,0603,1,8,085,1,
06182,海,0604,1,45,085,1,
06192,消,0605,1,3,085,1,
06193,渉,0606,1,2,085,1,
06272,淨,0607,1,35,085,1,
06285,深,0608,1,5,085,1,
